ID,IC50_nM,active,smiles
CHEMBL1232461,36.1,1.0,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21
CHEMBL1233528,1070.0,0.0,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C
CHEMBL1313432,6600.0,0.0,COc1cc(C(=O)NCCOc2ccccc2)cc(OC)c1OC
CHEMBL1344420,15530.0,0.0,Cc1ccccc1NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2C
CHEMBL1361699,101.0,1.0,Oc1ccc(Cn2ccnc2)c2cccnc12
CHEMBL1362741,8500.0,0.0,COC(=O)C(CC(C)C)NC(=O)c1cc(OC)c(OC)c(OC)c1
CHEMBL1363184,9050.0,0.0,O=c1cc(N2CCNCC2)oc2c(-c3ccccc3)cccc12
CHEMBL1381011,10980.0,0.0,COc1ccc(/C=C(\NC(=O)c2ccc(C)cc2)C(=O)NCCCn2ccnc2)cc1
CHEMBL13880,2900.0,0.0,Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1C
CHEMBL14212,2500.0,0.0,Cc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1C
CHEMBL1443641,71000.0,0.0,CC(=O)c1cn(C)c(=O)c2ccccc12
CHEMBL1444120,2500.0,0.0,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)n(C)c(=O)n3C)c(C)c1
CHEMBL1452711,2100.0,0.0,CCCOCc1ccc(O)c2ncccc12
CHEMBL14682,24000.0,0.0,Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1
CHEMBL1480862,5360.0,0.0,COc1ccc(C2=NN(C(=O)CCCC(=O)O)C(c3cn(-c4ccccc4)nc3-c3ccccc3)C2)cc1
CHEMBL1481742,4800.0,0.0,Oc1ccc(CNc2cccc(C(F)(F)F)c2)c2cccnc12
CHEMBL1485571,1000.0,0.0,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4)ccc1c23
